STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,20,FLOW,20181016 0600,20181016 0600,3, ,CFS
KCK,H,20,FLOW,20181016 0700,20181016 0700,3, ,CFS
KCK,H,20,FLOW,20181016 0800,20181016 0800,3, ,CFS
KCK,H,20,FLOW,20181016 0900,20181016 0900,3, ,CFS
KCK,H,20,FLOW,20181016 1000,20181016 1000,3, ,CFS
KCK,H,20,FLOW,20181016 1100,20181016 1100,3, ,CFS
KCK,H,20,FLOW,20181016 1200,20181016 1200,3, ,CFS
KCK,H,20,FLOW,20181016 1300,20181016 1300,3, ,CFS
KCK,H,20,FLOW,20181016 1400,20181016 1400,3, ,CFS
KCK,H,20,FLOW,20181016 1500,20181016 1500,3, ,CFS
KCK,H,20,FLOW,20181016 1600,20181016 1600,3, ,CFS
KCK,H,20,FLOW,20181016 1700,20181016 1700,3, ,CFS
KCK,H,20,FLOW,20181016 1800,20181016 1800,3, ,CFS
KCK,H,20,FLOW,20181016 1900,20181016 1900,3, ,CFS
KCK,H,20,FLOW,20181016 2000,20181016 2000,3, ,CFS
KCK,H,20,FLOW,20181016 2100,20181016 2100,3, ,CFS
KCK,H,20,FLOW,20181016 2200,20181016 2200,3, ,CFS
KCK,H,20,FLOW,20181016 2300,20181016 2300,3, ,CFS
KCK,H,20,FLOW,20181017 0000,20181017 0000,3, ,CFS
KCK,H,20,FLOW,20181017 0100,20181017 0100,3, ,CFS
KCK,H,20,FLOW,20181017 0200,20181017 0200,3, ,CFS
KCK,H,20,FLOW,20181017 0300,20181017 0300,3, ,CFS
KCK,H,20,FLOW,20181017 0400,20181017 0400,3, ,CFS
KCK,H,20,FLOW,20181017 0500,20181017 0500,3, ,CFS
KCK,H,20,FLOW,20181017 0600,20181017 0600,3, ,CFS
KCK,H,20,FLOW,20181017 0700,20181017 0700,3, ,CFS
