STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,1,RIV STG,20181010 1500,20181010 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1600,20181010 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1700,20181010 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1800,20181010 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1900,20181010 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181010 2000,20181010 2000,27.48, ,FEET
KCK,H,1,RIV STG,20181010 2100,20181010 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181010 2200,20181010 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181010 2300,20181010 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0000,20181011 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0100,20181011 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0200,20181011 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0300,20181011 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0400,20181011 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0500,20181011 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0600,20181011 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0700,20181011 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0800,20181011 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181011 0900,20181011 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1000,20181011 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1100,20181011 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1200,20181011 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1300,20181011 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1400,20181011 1400,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1500,20181011 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1600,20181011 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1700,20181011 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1800,20181011 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181011 1900,20181011 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181011 2000,20181011 2000,27.48, ,FEET
KCK,H,1,RIV STG,20181011 2100,20181011 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181011 2200,20181011 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181011 2300,20181011 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0000,20181012 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0100,20181012 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0200,20181012 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0300,20181012 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0400,20181012 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0500,20181012 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0600,20181012 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0700,20181012 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0800,20181012 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181012 0900,20181012 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1000,20181012 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1100,20181012 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1200,20181012 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1300,20181012 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1400,20181012 1400,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1500,20181012 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1600,20181012 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1700,20181012 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1800,20181012 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181012 1900,20181012 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181012 2000,20181012 2000,27.48, ,FEET
